segment_id,modalitet_rf,label_rf,subset_rf,orig_file_rf,start_sec_rf,duration_rf,out_path_rf,modalitet_audio,label_audio,subset_audio,orig_file_audio,start_sec_audio,duration_audio,out_path_audio
seg_00018,rf,drone,train,data/rf\drone\rf_drone_outside.csv,14.0,1.0,segments\seg_00018\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,11.0,1.0,segments\seg_00018\audio\Audio_test_bymarka_2.wav
seg_00019,rf,drone,train,data/rf\drone\rf_drone_outside.csv,15.0,1.0,segments\seg_00019\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,12.0,1.0,segments\seg_00019\audio\Audio_test_bymarka_2.wav
seg_00021,rf,drone,train,data/rf\drone\rf_drone_outside.csv,16.0,1.0,segments\seg_00021\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,14.0,1.0,segments\seg_00021\audio\Audio_test_bymarka_2.wav
seg_00022,rf,drone,train,data/rf\drone\rf_drone_outside.csv,17.0,1.0,segments\seg_00022\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,15.0,1.0,segments\seg_00022\audio\Audio_test_bymarka_2.wav
seg_00025,rf,drone,train,data/rf\drone\rf_drone_outside.csv,20.0,1.0,segments\seg_00025\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,16.0,1.0,segments\seg_00025\audio\Audio_test_bymarka_2.wav
seg_00027,rf,drone,train,data/rf\drone\rf_drone_outside.csv,21.0,1.0,segments\seg_00027\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,18.0,1.0,segments\seg_00027\audio\Audio_test_bymarka_2.wav
seg_00028,rf,drone,train,data/rf\drone\rf_drone_outside.csv,22.0,1.0,segments\seg_00028\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,19.0,1.0,segments\seg_00028\audio\Audio_test_bymarka_2.wav
seg_00029,rf,drone,train,data/rf\drone\rf_drone_outside.csv,23.0,1.0,segments\seg_00029\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,20.0,1.0,segments\seg_00029\audio\Audio_test_bymarka_2.wav
seg_00033,rf,drone,train,data/rf\drone\rf_drone_outside.csv,26.0,1.0,segments\seg_00033\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,22.0,1.0,segments\seg_00033\audio\Audio_test_bymarka_2.wav
seg_00034,rf,drone,train,data/rf\drone\rf_drone_outside.csv,27.0,1.0,segments\seg_00034\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,23.0,1.0,segments\seg_00034\audio\Audio_test_bymarka_2.wav
seg_00035,rf,drone,train,data/rf\drone\rf_drone_outside.csv,28.0,1.0,segments\seg_00035\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,24.0,1.0,segments\seg_00035\audio\Audio_test_bymarka_2.wav
seg_00036,rf,drone,train,data/rf\drone\rf_drone_outside.csv,29.0,1.0,segments\seg_00036\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,25.0,1.0,segments\seg_00036\audio\Audio_test_bymarka_2.wav
seg_00039,rf,drone,train,data/rf\drone\rf_drone_outside.csv,31.0,1.0,segments\seg_00039\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,26.0,1.0,segments\seg_00039\audio\Audio_test_bymarka_2.wav
seg_00040,rf,drone,train,data/rf\drone\rf_drone_outside.csv,32.0,1.0,segments\seg_00040\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,27.0,1.0,segments\seg_00040\audio\Audio_test_bymarka_2.wav
seg_00041,rf,drone,train,data/rf\drone\rf_drone_outside.csv,33.0,1.0,segments\seg_00041\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,28.0,1.0,segments\seg_00041\audio\Audio_test_bymarka_2.wav
seg_00042,rf,drone,train,data/rf\drone\rf_drone_outside.csv,34.0,1.0,segments\seg_00042\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,29.0,1.0,segments\seg_00042\audio\Audio_test_bymarka_2.wav
seg_00043,rf,drone,train,data/rf\drone\rf_drone_outside.csv,35.0,1.0,segments\seg_00043\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,30.0,1.0,segments\seg_00043\audio\Audio_test_bymarka_2.wav
seg_00044_noise,rf,drone,train,data/rf\drone\rf_drone_outside.csv,35.0,1.0,segments\seg_00044_noise\rf\rf_drone_outside_noise.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,30.0,1.0,segments\seg_00044_noise\audio\Audio_test_bymarka_2_noise.wav
seg_00046,rf,drone,train,data/rf\drone\rf_drone_outside.csv,37.0,1.0,segments\seg_00046\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,31.0,1.0,segments\seg_00046\audio\Audio_test_bymarka_2.wav
seg_00047,rf,drone,train,data/rf\drone\rf_drone_outside.csv,38.0,1.0,segments\seg_00047\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,32.0,1.0,segments\seg_00047\audio\Audio_test_bymarka_2.wav
seg_00048,rf,drone,train,data/rf\drone\rf_drone_outside.csv,39.0,1.0,segments\seg_00048\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,33.0,1.0,segments\seg_00048\audio\Audio_test_bymarka_2.wav
seg_00049,rf,drone,train,data/rf\drone\rf_drone_outside.csv,40.0,1.0,segments\seg_00049\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,34.0,1.0,segments\seg_00049\audio\Audio_test_bymarka_2.wav
seg_00053,rf,drone,train,data/rf\drone\rf_drone_outside.csv,43.0,1.0,segments\seg_00053\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,36.0,1.0,segments\seg_00053\audio\Audio_test_bymarka_2.wav
seg_00054,rf,drone,train,data/rf\drone\rf_drone_outside.csv,44.0,1.0,segments\seg_00054\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,37.0,1.0,segments\seg_00054\audio\Audio_test_bymarka_2.wav
seg_00055,rf,drone,train,data/rf\drone\rf_drone_outside.csv,45.0,1.0,segments\seg_00055\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,38.0,1.0,segments\seg_00055\audio\Audio_test_bymarka_2.wav
seg_00057,rf,drone,train,data/rf\drone\rf_drone_outside.csv,46.0,1.0,segments\seg_00057\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,40.0,1.0,segments\seg_00057\audio\Audio_test_bymarka_2.wav
seg_00060,rf,drone,train,data/rf\drone\rf_drone_outside.csv,49.0,1.0,segments\seg_00060\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,41.0,1.0,segments\seg_00060\audio\Audio_test_bymarka_2.wav
seg_00061,rf,drone,train,data/rf\drone\rf_drone_outside.csv,50.0,1.0,segments\seg_00061\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,42.0,1.0,segments\seg_00061\audio\Audio_test_bymarka_2.wav
seg_00063,rf,drone,train,data/rf\drone\rf_drone_outside.csv,51.0,1.0,segments\seg_00063\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,44.0,1.0,segments\seg_00063\audio\Audio_test_bymarka_2.wav
seg_00064,rf,drone,train,data/rf\drone\rf_drone_outside.csv,52.0,1.0,segments\seg_00064\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,45.0,1.0,segments\seg_00064\audio\Audio_test_bymarka_2.wav
seg_00067,rf,drone,train,data/rf\drone\rf_drone_outside.csv,55.0,1.0,segments\seg_00067\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,46.0,1.0,segments\seg_00067\audio\Audio_test_bymarka_2.wav
seg_00069,rf,drone,train,data/rf\drone\rf_drone_outside.csv,56.0,1.0,segments\seg_00069\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,48.0,1.0,segments\seg_00069\audio\Audio_test_bymarka_2.wav
seg_00070,rf,drone,train,data/rf\drone\rf_drone_outside.csv,57.0,1.0,segments\seg_00070\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,49.0,1.0,segments\seg_00070\audio\Audio_test_bymarka_2.wav
seg_00071,rf,drone,train,data/rf\drone\rf_drone_outside.csv,58.0,1.0,segments\seg_00071\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,50.0,1.0,segments\seg_00071\audio\Audio_test_bymarka_2.wav
seg_00075,rf,drone,train,data/rf\drone\rf_drone_outside.csv,61.0,1.0,segments\seg_00075\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,52.0,1.0,segments\seg_00075\audio\Audio_test_bymarka_2.wav
seg_00076,rf,drone,train,data/rf\drone\rf_drone_outside.csv,62.0,1.0,segments\seg_00076\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,53.0,1.0,segments\seg_00076\audio\Audio_test_bymarka_2.wav
seg_00077,rf,drone,train,data/rf\drone\rf_drone_outside.csv,63.0,1.0,segments\seg_00077\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,54.0,1.0,segments\seg_00077\audio\Audio_test_bymarka_2.wav
seg_00078,rf,drone,train,data/rf\drone\rf_drone_outside.csv,64.0,1.0,segments\seg_00078\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,55.0,1.0,segments\seg_00078\audio\Audio_test_bymarka_2.wav
seg_00081,rf,drone,train,data/rf\drone\rf_drone_outside.csv,66.0,1.0,segments\seg_00081\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,56.0,1.0,segments\seg_00081\audio\Audio_test_bymarka_2.wav
seg_00082,rf,drone,train,data/rf\drone\rf_drone_outside.csv,67.0,1.0,segments\seg_00082\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,57.0,1.0,segments\seg_00082\audio\Audio_test_bymarka_2.wav
seg_00083,rf,drone,train,data/rf\drone\rf_drone_outside.csv,68.0,1.0,segments\seg_00083\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,58.0,1.0,segments\seg_00083\audio\Audio_test_bymarka_2.wav
seg_00084,rf,drone,train,data/rf\drone\rf_drone_outside.csv,69.0,1.0,segments\seg_00084\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,59.0,1.0,segments\seg_00084\audio\Audio_test_bymarka_2.wav
seg_00085,rf,drone,train,data/rf\drone\rf_drone_outside.csv,70.0,1.0,segments\seg_00085\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,60.0,1.0,segments\seg_00085\audio\Audio_test_bymarka_2.wav
seg_00086_noise,rf,drone,train,data/rf\drone\rf_drone_outside.csv,70.0,1.0,segments\seg_00086_noise\rf\rf_drone_outside_noise.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,60.0,1.0,segments\seg_00086_noise\audio\Audio_test_bymarka_2_noise.wav
seg_00088,rf,drone,train,data/rf\drone\rf_drone_outside.csv,72.0,1.0,segments\seg_00088\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,61.0,1.0,segments\seg_00088\audio\Audio_test_bymarka_2.wav
seg_00089,rf,drone,train,data/rf\drone\rf_drone_outside.csv,73.0,1.0,segments\seg_00089\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,62.0,1.0,segments\seg_00089\audio\Audio_test_bymarka_2.wav
seg_00090,rf,drone,train,data/rf\drone\rf_drone_outside.csv,74.0,1.0,segments\seg_00090\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,63.0,1.0,segments\seg_00090\audio\Audio_test_bymarka_2.wav
seg_00091,rf,drone,train,data/rf\drone\rf_drone_outside.csv,75.0,1.0,segments\seg_00091\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,64.0,1.0,segments\seg_00091\audio\Audio_test_bymarka_2.wav
seg_00095,rf,drone,train,data/rf\drone\rf_drone_outside.csv,78.0,1.0,segments\seg_00095\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,66.0,1.0,segments\seg_00095\audio\Audio_test_bymarka_2.wav
seg_00096,rf,drone,train,data/rf\drone\rf_drone_outside.csv,79.0,1.0,segments\seg_00096\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,67.0,1.0,segments\seg_00096\audio\Audio_test_bymarka_2.wav
seg_00097,rf,drone,train,data/rf\drone\rf_drone_outside.csv,80.0,1.0,segments\seg_00097\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,68.0,1.0,segments\seg_00097\audio\Audio_test_bymarka_2.wav
seg_00099,rf,drone,train,data/rf\drone\rf_drone_outside.csv,81.0,1.0,segments\seg_00099\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,70.0,1.0,segments\seg_00099\audio\Audio_test_bymarka_2.wav
seg_00102,rf,drone,train,data/rf\drone\rf_drone_outside.csv,84.0,1.0,segments\seg_00102\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,71.0,1.0,segments\seg_00102\audio\Audio_test_bymarka_2.wav
seg_00103,rf,drone,train,data/rf\drone\rf_drone_outside.csv,85.0,1.0,segments\seg_00103\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,72.0,1.0,segments\seg_00103\audio\Audio_test_bymarka_2.wav
seg_00105,rf,drone,train,data/rf\drone\rf_drone_outside.csv,86.0,1.0,segments\seg_00105\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,74.0,1.0,segments\seg_00105\audio\Audio_test_bymarka_2.wav
seg_00106,rf,drone,train,data/rf\drone\rf_drone_outside.csv,87.0,1.0,segments\seg_00106\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,75.0,1.0,segments\seg_00106\audio\Audio_test_bymarka_2.wav
seg_00109,rf,drone,train,data/rf\drone\rf_drone_outside.csv,90.0,1.0,segments\seg_00109\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,76.0,1.0,segments\seg_00109\audio\Audio_test_bymarka_2.wav
seg_00111,rf,drone,train,data/rf\drone\rf_drone_outside.csv,91.0,1.0,segments\seg_00111\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,78.0,1.0,segments\seg_00111\audio\Audio_test_bymarka_2.wav
seg_00112,rf,drone,train,data/rf\drone\rf_drone_outside.csv,92.0,1.0,segments\seg_00112\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,79.0,1.0,segments\seg_00112\audio\Audio_test_bymarka_2.wav
seg_00113,rf,drone,train,data/rf\drone\rf_drone_outside.csv,93.0,1.0,segments\seg_00113\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,80.0,1.0,segments\seg_00113\audio\Audio_test_bymarka_2.wav
seg_00117,rf,drone,train,data/rf\drone\rf_drone_outside.csv,96.0,1.0,segments\seg_00117\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,82.0,1.0,segments\seg_00117\audio\Audio_test_bymarka_2.wav
seg_00118,rf,drone,train,data/rf\drone\rf_drone_outside.csv,97.0,1.0,segments\seg_00118\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,83.0,1.0,segments\seg_00118\audio\Audio_test_bymarka_2.wav
seg_00119,rf,drone,train,data/rf\drone\rf_drone_outside.csv,98.0,1.0,segments\seg_00119\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,84.0,1.0,segments\seg_00119\audio\Audio_test_bymarka_2.wav
seg_00120,rf,drone,train,data/rf\drone\rf_drone_outside.csv,99.0,1.0,segments\seg_00120\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,85.0,1.0,segments\seg_00120\audio\Audio_test_bymarka_2.wav
seg_00123,rf,drone,train,data/rf\drone\rf_drone_outside.csv,101.0,1.0,segments\seg_00123\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,86.0,1.0,segments\seg_00123\audio\Audio_test_bymarka_2.wav
seg_00124,rf,drone,train,data/rf\drone\rf_drone_outside.csv,102.0,1.0,segments\seg_00124\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,87.0,1.0,segments\seg_00124\audio\Audio_test_bymarka_2.wav
seg_00125,rf,drone,train,data/rf\drone\rf_drone_outside.csv,103.0,1.0,segments\seg_00125\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,88.0,1.0,segments\seg_00125\audio\Audio_test_bymarka_2.wav
seg_00126,rf,drone,train,data/rf\drone\rf_drone_outside.csv,104.0,1.0,segments\seg_00126\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,89.0,1.0,segments\seg_00126\audio\Audio_test_bymarka_2.wav
seg_00127,rf,drone,train,data/rf\drone\rf_drone_outside.csv,105.0,1.0,segments\seg_00127\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,90.0,1.0,segments\seg_00127\audio\Audio_test_bymarka_2.wav
seg_00128_noise,rf,drone,train,data/rf\drone\rf_drone_outside.csv,105.0,1.0,segments\seg_00128_noise\rf\rf_drone_outside_noise.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,90.0,1.0,segments\seg_00128_noise\audio\Audio_test_bymarka_2_noise.wav
seg_00130,rf,drone,train,data/rf\drone\rf_drone_outside.csv,107.0,1.0,segments\seg_00130\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,91.0,1.0,segments\seg_00130\audio\Audio_test_bymarka_2.wav
seg_00131,rf,drone,train,data/rf\drone\rf_drone_outside.csv,108.0,1.0,segments\seg_00131\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,92.0,1.0,segments\seg_00131\audio\Audio_test_bymarka_2.wav
seg_00132,rf,drone,train,data/rf\drone\rf_drone_outside.csv,109.0,1.0,segments\seg_00132\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,93.0,1.0,segments\seg_00132\audio\Audio_test_bymarka_2.wav
seg_00133,rf,drone,train,data/rf\drone\rf_drone_outside.csv,110.0,1.0,segments\seg_00133\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,94.0,1.0,segments\seg_00133\audio\Audio_test_bymarka_2.wav
seg_00137,rf,drone,train,data/rf\drone\rf_drone_outside.csv,113.0,1.0,segments\seg_00137\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,96.0,1.0,segments\seg_00137\audio\Audio_test_bymarka_2.wav
seg_00138,rf,drone,train,data/rf\drone\rf_drone_outside.csv,114.0,1.0,segments\seg_00138\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,97.0,1.0,segments\seg_00138\audio\Audio_test_bymarka_2.wav
seg_00139,rf,drone,train,data/rf\drone\rf_drone_outside.csv,115.0,1.0,segments\seg_00139\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,98.0,1.0,segments\seg_00139\audio\Audio_test_bymarka_2.wav
seg_00141,rf,drone,train,data/rf\drone\rf_drone_outside.csv,116.0,1.0,segments\seg_00141\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,100.0,1.0,segments\seg_00141\audio\Audio_test_bymarka_2.wav
seg_00144,rf,drone,train,data/rf\drone\rf_drone_outside.csv,119.0,1.0,segments\seg_00144\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,101.0,1.0,segments\seg_00144\audio\Audio_test_bymarka_2.wav
seg_00145,rf,drone,train,data/rf\drone\rf_drone_outside.csv,120.0,1.0,segments\seg_00145\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,102.0,1.0,segments\seg_00145\audio\Audio_test_bymarka_2.wav
seg_00147,rf,drone,train,data/rf\drone\rf_drone_outside.csv,121.0,1.0,segments\seg_00147\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,104.0,1.0,segments\seg_00147\audio\Audio_test_bymarka_2.wav
seg_00148,rf,drone,train,data/rf\drone\rf_drone_outside.csv,122.0,1.0,segments\seg_00148\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,105.0,1.0,segments\seg_00148\audio\Audio_test_bymarka_2.wav
seg_00151,rf,drone,train,data/rf\drone\rf_drone_outside.csv,125.0,1.0,segments\seg_00151\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,106.0,1.0,segments\seg_00151\audio\Audio_test_bymarka_2.wav
seg_00153,rf,drone,train,data/rf\drone\rf_drone_outside.csv,126.0,1.0,segments\seg_00153\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,108.0,1.0,segments\seg_00153\audio\Audio_test_bymarka_2.wav
seg_00154,rf,drone,train,data/rf\drone\rf_drone_outside.csv,127.0,1.0,segments\seg_00154\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,109.0,1.0,segments\seg_00154\audio\Audio_test_bymarka_2.wav
seg_00155,rf,drone,train,data/rf\drone\rf_drone_outside.csv,128.0,1.0,segments\seg_00155\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,110.0,1.0,segments\seg_00155\audio\Audio_test_bymarka_2.wav
seg_00159,rf,drone,train,data/rf\drone\rf_drone_outside.csv,131.0,1.0,segments\seg_00159\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,112.0,1.0,segments\seg_00159\audio\Audio_test_bymarka_2.wav
seg_00160,rf,drone,train,data/rf\drone\rf_drone_outside.csv,132.0,1.0,segments\seg_00160\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,113.0,1.0,segments\seg_00160\audio\Audio_test_bymarka_2.wav
seg_00161,rf,drone,train,data/rf\drone\rf_drone_outside.csv,133.0,1.0,segments\seg_00161\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,114.0,1.0,segments\seg_00161\audio\Audio_test_bymarka_2.wav
seg_00162,rf,drone,train,data/rf\drone\rf_drone_outside.csv,134.0,1.0,segments\seg_00162\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,115.0,1.0,segments\seg_00162\audio\Audio_test_bymarka_2.wav
seg_00165,rf,drone,train,data/rf\drone\rf_drone_outside.csv,136.0,1.0,segments\seg_00165\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,116.0,1.0,segments\seg_00165\audio\Audio_test_bymarka_2.wav
seg_00166,rf,drone,train,data/rf\drone\rf_drone_outside.csv,137.0,1.0,segments\seg_00166\rf\rf_drone_outside.csv,audio,drone,train,data/audio\drone\Audio_test_bymarka_2.wav,117.0,1.0,segments\seg_00166\audio\Audio_test_bymarka_2.wav
